RecordID,MGMT_LEVEL,Tenure..days.,File,MONTH1,MONTH2,MONTH3,MONTH4,MONTH5,MONTH6,Score_P,Score_T,Flag
9828,0,2017,C,0.940607892,0.939247441,0.93637656,0.949112878,0.946673784,0.949272066,0.68,0.32,All good
9829,1,5195,C,0.895190629,0.896361256,0.888175855,0.898926123,0.902176676,0.901165399,0.34,0.66,All good
9830,1,1261,C,0.893795213,0.899220388,0.888979595,0.90041482,0.905621491,0.897618585,0.28,0.72,All good
9831,0,1264,C,0.931139495,0.933989783,0.929482561,0.937601619,0.936781829,0.930512703,0.68,0.32,All good
9832,0,1271,C,0.933052943,0.930721476,0.937845866,0.944253523,0.942489398,0.941107638,0.76,0.24,All good
9833,0,1271,C,0.933210717,0.9321499,0.93447312,0.940273092,0.942808434,0.94039949,0.76,0.24,All good
9834,0,1229,C,0.884779389,0.88334432,0.942490812,0.948091909,0.945716539,0.942850089,0.56,0.44,All good
9835,0,1250,C,0.906569502,0.905700984,0.90078892,0.908153497,0.908927003,0.891281774,0,1,T
9836,0,1229,C,0.93268621,0.932923957,0.935832997,0.940143177,0.942914771,0.918458388,0.68,0.32,All good
9837,0,1254,C,0.929565581,0.930535778,0.931433438,0.938961474,0.936690367,0.937773251,0.74,0.26,All good
9838,0,1254,C,0.928443436,0.929657849,0.921686835,0.927187853,0.925293936,0.926654567,0.64,0.36,All good
9840,0,1222,C,0.937224619,0.939249526,0.941071569,0.949602006,0.948783784,0.945016832,0.78,0.22,All good
9841,0,1229,C,0.92849856,0.928373682,0.92563059,0.930611823,0.934773999,0.934726488,0.74,0.26,All good
9842,0,1222,C,0.912450915,0.911852342,0.908969918,0.917608278,0.916108614,0.906723298,0.12,0.88,All good
9843,0,1254,C,0.915885338,0.921494469,0.925072671,0.932840937,0.936888758,0.932829041,0.6,0.4,All good
9844,0,1222,C,0.923233911,0.925366537,0.924851575,0.930802981,0.932808009,0.901173878,0.62,0.38,All good
9846,0,1243,C,0.915172,0.912441203,0.922973462,0.928791545,0.932983846,0.927431013,0.7,0.3,All good
9847,0,1233,C,0.926036876,0.924974172,0.904550255,0.909192841,0.912583243,0.900590382,0.28,0.72,All good
9848,0,1243,C,0.931656612,0.929920579,0.939566082,0.950704079,0.948250596,0.946644361,0.64,0.36,All good
9849,0,1236,C,0.91022817,0.910038822,0.907172028,0.912957776,0.916902521,0.918201346,0.14,0.86,All good
9850,0,1240,C,0.90868015,0.913849101,0.932395211,0.940305881,0.940272433,0.938761234,0.7,0.3,All good
9851,0,1236,C,0.939598672,0.940665352,0.927627405,0.937807924,0.939239863,0.923782918,0.82,0.18,All good
9852,0,1229,C,0.938596956,0.941039024,0.938747859,0.945688789,0.947411616,0.947191431,1,0,P
9853,0,1243,C,0.932040816,0.934923367,0.935702025,0.942664928,0.943805867,0.935728862,0.66,0.34,All good
9854,0,1236,C,0.942119855,0.942775004,0.936128425,0.943063963,0.947697378,0.930813451,0.9,0.1,All good
9855,0,2962,C,0.939704465,0.938738866,0.938596322,0.946477298,0.943479575,0.927355868,0.86,0.14,All good
9857,0,1236,C,0.941810309,0.939007136,0.941250133,0.947368082,0.948217683,0.948306073,0.84,0.16,All good
9859,0,1243,C,0.92790723,0.933666761,0.930868752,0.93360422,0.934873252,0.927230325,0.64,0.36,All good
9860,0,1236,C,0.935965216,0.931574252,0.938094849,0.942651612,0.945031989,0.919390205,0.64,0.36,All good
9861,0,1236,C,0.936317157,0.935178403,0.936375626,0.944153119,0.947778822,0.946166899,0.5,0.5,All good
9862,0,1219,C,0.941743082,0.93733262,0.938994089,0.946003242,0.950745416,0.942738081,0.78,0.22,All good
9863,0,1236,C,0.931889761,0.933745288,0.930004489,0.939677929,0.938464065,0.933504524,0.6,0.4,All good
9864,0,1236,C,0.926052722,0.921833065,0.920067833,0.932245125,0.924217669,0.924916159,0.5,0.5,All good
9865,0,1222,C,0.901037095,0.901886261,0.919330044,0.924643202,0.923530594,0.930354713,0.44,0.56,All good
9867,0,1236,C,0.918465021,0.9169796,0.927371238,0.935090421,0.931569755,0.936971252,0.76,0.24,All good
9868,0,1179,C,0.931102235,0.930960321,0.925923941,0.93610391,0.9347371,0.946275836,0.6,0.4,All good
9869,0,1222,C,0.939766077,0.940567696,0.942073616,0.945766775,0.94780738,0.948271728,1,0,P
9871,0,1222,C,0.913140402,0.917836193,0.931628337,0.935101768,0.940081891,0.941699315,0.66,0.34,All good
9873,0,1222,C,0.939932077,0.940174205,0.940874485,0.949172206,0.947456977,0.935019598,0.96,0.04,P
9874,0,1222,C,0.922229834,0.919155648,0.92789568,0.934078562,0.932511496,0.946974126,0.64,0.36,All good
9875,0,1236,C,0.900569302,0.899045834,0.90224056,0.911260839,0.910278887,0.916243925,0.02,0.98,T
9876,0,1222,C,0.937557194,0.935211205,0.934853416,0.945836671,0.941385642,0.916706707,0.66,0.34,All good
9878,0,515,C,0.912721682,0.910686404,0.912718763,0.923595005,0.919869559,0.914720062,0.28,0.72,All good
9879,0,5070,C,0.957183037,0.954735508,0.958801369,0.965723963,0.968006457,0.965757015,0.86,0.14,All good
